Title,Price,Marque,Modele,Kilometrage,Mise_en_circulation,Energie,Boite_vitesse,Puissance_fiscale,Puissance_ch,Transmission,Carrosserie,Etat_general,Proprietaires,Gouvernorat,Couleur_exterieure,Couleur_interieure,Sellerie,Nombre_places,Nombre_portes,Cylindree,Equipements,Date_annonce,URL
OPEL ASTRA,27500 DT,Opel,Astra,100000,6.2009,Diesel,Manuelle,,,,,,,Bizerte,Noir,Gris,,,2,,,17.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140917151414
PEUGEOT PARTNER,14000 DT,Peugeot,Partner,15000,1.2004,Diesel,Manuelle,,,,,,,Siliana,Gris,,,,3,,,17.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140917094904
RENAULT SYMBOL,0022 DT,Renault,Symbol,30000,4.2013,Essence,Manuelle,,,,,,,Ben Arous,Noir,Noir,,,4,,,16.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140916164241
VOLKSWAGEN GOLF 5,27000 DT,Volkswagen,Golf 5,100080,6.2008,Essence,Manuelle,,,,,,,Ariana,Bleu,Blanc,,,4,,,16.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140916091016
MERCEDES CLASSE C 180,0081 DT,Mercedes,Classe C 180,55000,6.2012,Essence,Automatique,,,,,,,Kairouan,Noir,Noir,,,4,,,14.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140914153151
MERCEDES CLASSE C 180,0081 DT,Mercedes,Classe C 180,55,6.2012,Essence,Automatique,,,,,,,Kairouan,Noir,Noir,,,4,,,14.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140914150440
AUDI A6 BUSINESS CLASS,140000 DT,Audi,A6 Business Class,63000,2.2013,Diesel,Manuelle,,,,,,,Sousse,Gris,Noir,,,4,,,14.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140914063525
CITROEN BERLINGO VAN,0024 DT,Citroen,Berlingo Van,70000,1.2010,Diesel,Manuelle,,,,,,,Ben Arous,Blanc,Noir,,,4,,,13.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140913190732
FIAT GRANDE PUNTO,18500 DT,Fiat,Grande Punto,,1.2009,Essence,Manuelle,,,,,,,Ariana,Noir,,,,4,,,13.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140913122104
VOLKSWAGEN POLO,10500 DT,Volkswagen,Polo,228000,1.2002,Essence,Manuelle,,,,,,,Bizerte,Noir,Gris,,,4,,,12.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140912104222
PEUGEOT 3008 BREAK,37700 DT,Peugeot,3008 Break,157000,12.2010,Diesel,Automatique,,,,,,,Sfax,Noir,Gris,,,5,,"GPS, Toit panoramique, Vitres électriques",11.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140911161333
RENAULT SYMBOL,18500 DT,Renault,Symbol,70000,6.2011,Essence,Manuelle,,,,,,,Ariana,Blanc,Noir,,,4,,,11.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140911140523
OPEL ASTRA H,20500 DT,Opel,Astra H,140000,4.2008,Essence,Manuelle,,,,,,,Tunis,Gris,,,,4,,,11.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140911125046
VOLKSWAGEN POLO,10800 DT,Volkswagen,Polo,228000,1.2002,Essence,Manuelle,,,,,,,Bizerte,Gris,,,,4,,,10.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140910193152
RENAULT KANGOO,17000 DT,Renault,Kangoo,100000,8.2004,Diesel,Manuelle,,,,,,,Ben Arous,Gris,Gris,,,4,,,08.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140908150645
FORD FIESTA,13000 DT,Ford,Fiesta,167000,6.2005,Essence,Manuelle,,,,,,,Ben Arous,Vert,Beige,,,5,,,08.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140908150317
OPEL ASTRA ESSENCE,14500 DT,Opel,Astra Essence,190000,3.2001,Essence,Manuelle,,,,,,,Gafsa,Noir,Noir,,,5,,,08.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140908131002
VOLKSWAGEN TOURAN VOITURE,40000 DT,Volkswagen,Touran Voiture,130,1.2010,Diesel,Manuelle,,,,,,,Bizerte,,,,,5,,,08.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140908123724
VOLKSWAGEN TOURAN VOITURE,40000 DT,Volkswagen,Touran Voiture,130,1.2010,Diesel,,,,,,,,Bizerte,,,,,4,,,08.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140908122845
ISUZU ISUZU,30000 DT,Isuzu,Isuzu,,3.2008,Diesel,Manuelle,,,,,,,Kairouan,Blanc,Noir,,,2,,,06.09.2014,https://www.vente-voiture-tunisie.com/voiture-occasion/Annonce-vente-voiture-occasion-tunisie.aspx?ref=140906235422
